,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
129,Lamar,28,17,11,.607,-6.06,-9.95,11,7,,,,,2144,1979,,,102.5,.435,.292,.535,54.8,54.1,9.1,4.8,.484,20.1,40.2,.321
130,Lehigh,28,6,22,.214,-19.97,-7.59,0,12,,,,,1765,2025,,,89.5,.414,.226,.482,49.3,59.6,9.2,4.6,.437,20.9,33.0,.281
131,Liberty,27,4,23,.148,-24.52,-7.12,0,10,,,,,1960,2259,,,95.7,.344,.273,.522,47.1,53.9,13.1,4.2,.491,21.3,33.9,.232
132,Long Beach State,28,13,15,.464,-4.96,-0.85,9,7,,,,,1865,1973,,,95.0,.343,.277,.511,48.7,48.0,10.3,8.8,.484,20.0,32.1,.219
133,Long Island University,27,10,17,.370,-11.57,-6.64,10,10,,,,,1828,1961,,,91.4,.302,.227,.475,49.6,45.8,12.2,7.8,.458,19.6,35.1,.172
134,Louisiana,29,13,16,.448,-1.45,0.00,7,7,,,,,1951,1993,,,95.2,.446,.284,.476,52.8,48.3,9.4,7.3,.444,18.7,40.3,.266
135,Louisiana-Monroe,27,13,14,.481,-10.36,-5.25,12,6,,,,,1954,2058,,,90.3,.374,.320,.496,48.2,51.1,11.2,10.8,.466,21.8,35.9,.236
136,Louisiana State,27,12,15,.444,2.55,5.89,4,12,,,,,1793,1861,,,92.6,.414,.309,.513,53.0,59.5,9.8,8.8,.480,23.4,36.9,.266
137,Louisiana Tech,28,19,9,.679,1.89,-3.47,10,4,,,,,2133,1984,,,105.6,.311,.341,.552,49.1,52.6,12.1,7.5,.520,18.0,33.5,.227
138,Louisville NCAA,30,19,11,.633,15.22,8.12,11,5,,,,,2306,2093,,,105.9,.351,.316,.552,48.7,59.6,12.9,11.5,.525,19.3,37.9,.238
139,Loyola (IL),27,9,18,.333,-6.46,-0.07,7,7,,,,,1644,1811,,,92.9,.323,.302,.482,49.1,59.2,10.3,5.4,.452,19.2,34.4,.208
140,Loyola Marymount,27,11,16,.407,-5.21,1.83,6,8,,,,,2054,2197,,,101.2,.366,.377,.529,46.7,55.8,9.6,9.3,.485,18.3,33.2,.268
141,Loyola (MD),28,13,15,.464,-4.60,-5.46,6,12,,,,,2165,2141,,,102.4,.406,.257,.553,52.2,56.1,10.8,7.2,.527,21.3,38.6,.264
142,Maine,28,19,9,.679,-1.73,-8.07,13,5,,,,,2257,2063,,,105.9,.346,.347,.568,48.7,56.1,14.1,7.1,.533,18.9,32.6,.256
143,Manhattan,27,5,22,.185,-13.45,-6.20,3,15,,,,,1688,1884,,,89.4,.477,.247,.498,51.2,61.4,9.7,7.8,.459,23.8,35.7,.302
144,Marist,28,16,12,.571,-3.99,-5.52,8,10,,,,,2033,1990,,,104.1,.401,.220,.526,48.1,58.5,12.3,10.4,.492,16.3,35.1,.266
145,Marquette,29,14,15,.483,5.04,4.83,6,10,,,,,1823,1817,,,93.7,.354,.326,.490,51.7,54.0,10.5,9.2,.455,20.2,37.8,.234
146,Marshall,27,16,11,.593,4.77,0.57,11,7,,,,,2075,1906,,,102.6,.329,.299,.542,50.3,55.5,10.3,10.1,.512,20.1,36.6,.229
147,Maryland-Baltimore County,28,19,9,.679,-4.35,-8.13,17,3,,,,,1887,1781,,,101.9,.414,.293,.537,51.5,60.6,11.1,8.2,.504,21.7,36.9,.277
148,Maryland-Eastern Shore,27,10,17,.370,-13.56,-11.00,7,11,,,,,1909,1978,,,99.4,.379,.254,.508,50.1,42.7,10.2,5.6,.476,18.2,37.3,.247
