,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
196,Ohio,MAC (East),,12,14,70.1,74.7,-4.62,,3.13,,-2.66,-0.45,-3.11,95.80,100.07,-4.26
197,Purdue-Fort Wayne,Summit,,17,12,83.6,78.2,5.38,,-2.79,,6.47,-9.72,-3.26,106.23,110.39,-4.16
198,Hartford,AEC,,15,13,74.0,72.3,1.79,,-3.69,,-0.17,-3.15,-3.32,103.95,107.78,-3.83
199,Charleston Southern,Big South,,13,14,77.3,71.8,5.52,,-3.22,,-0.27,-3.08,-3.35,100.45,104.40,-3.94
200,Evansville,MVC,,10,19,69.6,72.1,-2.52,,0.68,,-1.97,-1.39,-3.36,98.39,102.77,-4.38
201,Presbyterian,Big South,,17,12,78.8,72.3,6.48,,-4.98,,1.59,-5.03,-3.44,106.41,110.34,-3.93
202,NJIT,A-Sun,,20,9,70.5,67.0,3.45,,-5.91,,-4.59,1.08,-3.51,97.94,102.34,-4.40
203,Appalachian State,Sun Belt,,9,18,80.3,79.5,0.81,,0.94,,5.14,-8.66,-3.52,105.15,109.52,-4.37
204,North Florida,A-Sun,,14,16,75.6,77.6,-1.93,,-0.05,,2.67,-6.22,-3.55,101.46,105.30,-3.85
205,Campbell,Big South,,17,11,75.6,69.8,5.86,,-4.36,,-1.48,-2.08,-3.56,105.56,109.45,-3.89
206,Little Rock,Sun Belt,,10,17,75.2,75.3,-0.07,,-2.34,,-0.03,-3.55,-3.58,100.45,104.55,-4.09
207,Fordham,A-10,,11,16,67.8,67.3,0.44,,-2.22,,-6.01,2.41,-3.60,98.82,103.22,-4.40
208,Air Force,MWC,,12,15,67.8,71.1,-3.30,,0.65,,-3.50,-0.23,-3.73,99.31,104.45,-5.14
209,American,Patriot,,14,13,72.3,69.0,3.30,,-7.05,,-2.89,-0.86,-3.75,99.84,104.61,-4.77
210,Cal State Bakersfield,WAC,,16,11,72.4,70.7,1.63,,-2.39,,-3.41,-0.36,-3.77,101.05,106.29,-5.24
211,Green Bay,Horizon,,15,14,81.6,80.6,0.97,,-0.29,,5.62,-9.39,-3.77,101.61,105.73,-4.13
212,North Dakota State,Summit,,14,14,73.1,72.6,0.54,,-1.44,,-1.73,-2.17,-3.90,103.94,108.98,-5.04
213,Florida International,CUSA,,17,11,84.0,80.6,3.43,,-1.42,,7.86,-11.82,-3.96,100.86,105.01,-4.15
214,Northern Colorado,Big Sky,,17,9,77.2,69.6,7.65,,-6.59,,-2.80,-1.17,-3.96,100.74,105.32,-4.57
215,South Alabama,Sun Belt,,13,14,73.5,72.2,1.30,,-2.68,,-3.23,-0.81,-4.04,99.90,104.62,-4.71
216,William & Mary,CAA,,12,16,75.2,77.5,-2.29,,-1.07,,0.58,-4.64,-4.07,101.44,107.03,-5.59
217,California Baptist,WAC,,15,11,79.8,73.1,6.73,,-5.11,,2.94,-7.18,-4.24,104.36,108.99,-4.63
218,Rider,MAAC,,15,13,76.6,74.9,1.79,,-6.04,,2.85,-7.10,-4.25,99.15,105.24,-6.09
